StatementID,BankAccountNumber,TransactionDate,ValueDate,Currency,Amount,DebitCreditIndicator,Description,BankReference,ReferenceNumber,MatchType
STM00000001,AU123456789012345,2026-01-06,2026-01-06,EUR,10194.18,D,Trade settlement payment,BNK323340014,REF27084860,perfect
STM00000002,DE89370400440532013000,2026-01-29,2026-01-29,AUD,422036.76,D,Invoice payment to vendor,BNK983020743,REF33784620,perfect
STM00000003,DE89370400440532013000,2026-02-17,2026-02-17,JPY,439730.96,C,Payroll funding,BNK143242915,REF46312974,perfect
STM00000004,FR7614508059144921279050070,2026-02-20,2026-02-24,EUR,292802.85,D,ACH debit settlement,BNK124692027,REF96463477,perfect
STM00000005,AU123456789012345,2026-03-07,2026-03-10,AUD,140907.22,D,Loan repayment,BNK689937740,REF20821742,perfect
STM00000006,DE89370400440532013000,2026-03-19,2026-03-20,CHF,303413.58,C,Payroll funding,BNK240398299,REF64020875,perfect
STM00000007,DE89370400440532013000,2026-01-18,2026-01-18,JPY,444548.87,D,SEPA direct debit,BNK420101852,REF65166929,perfect
STM00000008,US123456789012345678,2026-03-08,2026-03-11,AUD,300996.70,C,Trade settlement receipt,BNK289661203,REF14346014,perfect
STM00000009,US123456789012345678,2026-02-16,2026-02-18,GBP,446956.83,D,Supplier payment,BNK217541055,REF60178165,perfect
STM00000010,GB29NWBK60161331926819,2026-01-07,2026-01-08,JPY,382382.82,C,Bond coupon payment,BNK635271306,REF68811988,perfect
STM00000011,DE89370400440532013000,2026-02-21,2026-02-23,AUD,87891.39,D,Service fee payment,BNK305519674,REF38362623,perfect
STM00000012,FR7614508059144921279050070,2026-02-18,2026-02-19,CHF,263260.90,D,Cheque payment,BNK958991785,REF21903824,perfect
STM00000013,GB29NWBK60161331926819,2026-02-07,2026-02-09,JPY,165090.74,C,FX contract settlement,BNK613576955,REF45404991,perfect
STM00000014,AU123456789012345,2026-02-01,2026-02-03,GBP,390223.89,D,Interest expense,BNK640957701,REF37172174,perfect
STM00000015,GB29NWBK60161331926819,2026-02-25,2026-02-25,EUR,38149.55,D,SEPA direct debit,BNK222770906,REF86388894,perfect
STM00000016,AU123456789012345,2026-01-08,2026-01-09,USD,326162.77,D,Rent payment,BNK753828733,REF28549160,perfect
STM00000017,US123456789012345678,2026-02-02,2026-02-02,AUD,124232.10,C,ACH credit settlement,BNK406219366,REF81630087,perfect
STM00000018,FR7614508059144921279050070,2026-01-09,2026-01-12,CHF,437995.27,D,Utility payment,BNK824828019,REF62103715,perfect
STM00000019,AU123456789012345,2026-02-26,2026-02-26,USD,276314.52,D,Service fee payment,BNK228869831,REF19930696,perfect
STM00000020,FR7614508059144921279050070,2026-01-01,2026-01-05,AUD,295590.42,C,Customer payment received,BNK621602256,REF60587496,perfect
STM00000021,DE89370400440532013000,2026-03-17,2026-03-17,CAD,9579.83,C,Invoice payment INV-2714,BNK950908853,REF98638122,perfect
STM00000022,FR7614508059144921279050070,2026-01-06,2026-01-08,CAD,165422.08,C,Interest credit,BNK676760888,REF78646854,perfect
STM00000023,FR7614508059144921279050070,2026-03-27,2026-03-31,AUD,212837.95,C,Customer payment received,BNK152769195,REF94865895,perfect
STM00000024,GB29NWBK60161331926819,2026-01-07,2026-01-12,CAD,249348.02,D,Invoice payment to vendor,BNK921532008,REF61888820,perfect
STM00000025,FR7614508059144921279050070,2026-03-01,2026-03-01,EUR,350042.46,C,Payroll funding,BNK168433883,REF52992618,perfect
STM00000026,FR7614508059144921279050070,2026-03-07,2026-03-11,GBP,347473.98,C,Customer advance payment,BNK971729875,REF26224929,perfect
STM00000027,GB29NWBK60161331926819,2026-01-04,2026-01-07,GBP,333857.22,D,Trade settlement payment,BNK516905924,REF69605040,perfect
STM00000028,GB29NWBK60161331926819,2026-02-14,2026-02-14,CHF,337288.27,C,Wire transfer inbound,BNK510468571,REF27134844,perfect
STM00000029,GB29NWBK60161331926819,2026-01-07,2026-01-09,AUD,178720.81,D,Equipment purchase,BNK349915198,REF27596385,perfect
STM00000030,GB29NWBK60161331926819,2026-03-03,2026-03-04,AUD,398068.73,C,Customer payment received,BNK666529096,REF47043567,perfect
STM00000031,AU123456789012345,2026-02-27,2026-03-02,AUD,310751.95,D,Payroll disbursement,BNK624350505,REF57691133,perfect
STM00000032,AU123456789012345,2026-02-14,2026-02-17,AUD,36861.97,C,SEPA credit transfer,BNK138393395,REF58125172,perfect
STM00000033,AU123456789012345,2026-03-17,2026-03-18,USD,378269.92,D,Payroll disbursement,BNK128140208,REF17551684,perfect
STM00000034,AU123456789012345,2026-03-21,2026-03-25,CHF,188476.12,C,Intercompany transfer in,BNK562420190,REF89255779,perfect
STM00000035,FR7614508059144921279050070,2026-01-17,2026-01-17,JPY,24918.92,D,Cheque payment,BNK150727078,REF29947002,perfect
STM00000036,FR7614508059144921279050070,2026-01-08,2026-01-08,USD,14916.49,D,Insurance premium payment,BNK813778856,REF49124086,perfect
STM00000037,FR7614508059144921279050070,2026-02-10,2026-02-11,AUD,322591.07,D,FX contract payment,BNK172346389,REF32620852,perfect
STM00000038,US123456789012345678,2026-02-12,2026-02-13,JPY,447524.22,C,Customer payment received,BNK270125906,REF94920045,perfect
STM00000039,AU123456789012345,2026-01-13,2026-01-13,CHF,125985.09,C,Intercompany transfer in,BNK607096942,REF42476984,perfect
STM00000040,AU123456789012345,2026-01-02,2026-01-05,CHF,345132.24,C,Dividend income,BNK710753348,REF55905131,perfect
