StatementID,BankAccount,IBAN,BankName,TxnDate,ValueDate,Currency,Amount,DebitCreditIndicator,Description,BankReference,EndToEndRef,RemittanceInfo,MatchType
STM00000001,US123456789012345678,US123456789012345678,Credit Suisse,2026-01-29,2026-01-30,EUR,336132.12,C,Invoice payment INV-4261,BNK659334932,REF36742341,Invoice payment INV-4261,amountDiff
STM00000002,AU123456789012345,AU123456789012345,HSBC,2026-01-05,2026-01-08,AUD,129757.58,C,FX contract settlement,BNK471897830,REF60035497,FX contract settlement,amountDiff
STM00000003,AU123456789012345,AU123456789012345,Bank of America,2026-02-21,2026-02-25,CAD,371938.22,C,Bond coupon payment,BNK413181358,REF43911755,Bond coupon payment,amountDiff
STM00000004,AU123456789012345,AU123456789012345,Citibank,2026-02-13,2026-02-16,CAD,218792.32,C,Sales proceeds,BNK920205445,REF88096700,Sales proceeds,amountDiff
STM00000005,AU123456789012345,AU123456789012345,Bank of America,2026-01-13,2026-01-14,CAD,59793.55,C,Refund received,BNK858233805,REF52170046,Refund received,amountDiff
STM00000006,DE89370400440532013000,DE89370400440532013000,ANZ,2026-02-12,2026-02-12,CHF,284871.13,D,SEPA direct debit,BNK794460475,REF29542101,SEPA direct debit,amountDiff
STM00000007,GB29NWBK60161331926819,GB29NWBK60161331926819,Westpac,2026-01-28,2026-01-30,AUD,264917.66,D,FX contract payment,BNK312768670,REF66834077,FX contract payment,amountDiff
STM00000008,GB29NWBK60161331926819,GB29NWBK60161331926819,Barclays,2026-02-06,2026-02-11,JPY,133876.65,D,Supplier payment,BNK985514318,REF32638478,Supplier payment,amountDiff
STM00000009,DE89370400440532013000,DE89370400440532013000,UBS,2026-03-28,2026-04-01,JPY,399646.63,C,Dividend income,BNK491028591,REF60054550,Dividend income,amountDiff
STM00000010,US123456789012345678,US123456789012345678,ING,2026-03-23,2026-03-26,GBP,339617.47,D,Utility payment,BNK286250635,REF36268377,Utility payment,amountDiff
STM00000011,US123456789012345678,US123456789012345678,HSBC,2026-01-23,2026-01-26,USD,312382.96,C,Payroll funding,BNK570236677,REF73243690,Payroll funding,amountDiff
STM00000012,AU123456789012345,AU123456789012345,Bank of America,2026-03-19,2026-03-19,CHF,32215.44,D,Payroll disbursement,BNK579022919,REF40422991,Payroll disbursement,amountDiff
STM00000013,AU123456789012345,AU123456789012345,Credit Suisse,2026-01-13,2026-01-16,USD,467593.73,D,Wire transfer outbound,BNK516823793,REF87064232,Wire transfer outbound,amountDiff
STM00000014,GB29NWBK60161331926819,GB29NWBK60161331926819,HSBC,2026-02-05,2026-02-10,EUR,461534.81,C,Loan drawdown,BNK796467372,REF72588610,Loan drawdown,amountDiff
STM00000015,US123456789012345678,US123456789012345678,ANZ,2026-01-12,2026-01-13,JPY,228993.20,C,Trade settlement receipt,BNK341117447,REF58265673,Trade settlement receipt,amountDiff
